run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,replay,mock-model,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,replay,mock-model,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,deterministic,none,0.0,rules_v1,1.0.0,,25,0,0.0,0.0,0.0,0,0.0,0,1,
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,replay,mock-model,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,replay,mock-model,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,deterministic,none,0.0,exect_lite_rules_v1,1.0.0,exect_lite_v1,25,0,0.0,0.0,0.0,0,0.0,0,1,
exect_lite_smoke,exect_lite_cleanroom_baseline,clinical_nlp_baseline,deterministic,none,0.0,exect_lite_rules_v1,1.0.0,exect_lite_v1,2,0,0.0,0.0,0.0,0,0.0,0,0,
exect_v2_external_gold_seeded_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,exect_v2_external,none,0.0,exect_v2_external_v1,1.0.0,exect_v2_v1,25,0,0.0,0.0,0.0,0,0.0,0,1,
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,exect_v2_external,none,0.0,exect_v2_external_v1,1.0.0,exect_v2_v1,25,0,0.0,0.0,0.0,0,0.0,0,1,
metadata_smoke_n5,metadata_smoke,,deterministic,none,0.0,none,1.0.0,,5,0,0.0,0.0,0.0,0,0.0,0,0,
matrix_claude-3-5-haiku-20241022_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,claude-3-5-haiku-20241022,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_claude-3-5-sonnet-20241022_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,claude-3-5-sonnet-20241022,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
